Código;Descripción;C.p.a
2201;Gelatina De Fresa 8 Onz;2,00
2213;Mazamorra Morada;1,20
2215;Pudin De Chocolate 8 Onz.;2,97
2214;Pudin De Vainilla 8 Onz.;1,00
3006;Pan Con Aceituna Negra;5,00
3002;Pan Con Huevo Revuelto;1,10
3012;Pan Con Jamonada;0,80
3005;Pan Revuelto De Hot Dog;1,00
3010;Pan Con Salchicha Huachana;8,96
3013;Pan Con Tamal;1,27
2271;Pan Con Torreja;1,00
2275;Choripan;5,08
7034;Choripan Jr;1,20
2264;Pan Con Queso;0,80
1543;Pan Con Pollo Economico;0,80
1545;Pan Con Huevo Economico;0,80
3049;Croissant De Pollo;6,93
3050;Croissant Mixto;5,08
3052;Croissant De Pollo Con Apio;3,00
3051;Croissant De Pollo Con Durazno;6,78
3038;Hamburguesa;9,32
3040;Hamburguesa Con Huevo;1,00
3039;Hamburguesa Economica;2,00
3041;Hamburguesa Royal;7,63
3075;Mixto Caliente;1,00
3076;Mixto Completo;2,00
3018;Pita Capresse;1,00
3016;Pita Con Palta;1,00
3015;Pita Con Pollo;5,93
3019;Pita Con Pollo Y Durazno;6,78
3017;Pita Con Pollo Y Palta;6,78
3020;Pita Clasico;1,00
3014;Pita Con Queso Fresco;5,00
3022;Pita Mixto;4,66
3059;Sandwich Butifarra;2,00
3054;Sandwich Con Milanesa;2,50
3056;Sandwich De Chicharron;3,00
3073;Sandwich De Filete De Pollo;1,00
3074;Sandwich De Filete Con Palta;1,00
3068;Sandwich De Hot Dog;1,64
3081;Sandwich De Pollo Ciabatta;2,00
3061;Sandwich De Pollo En Pan Hamburguesa;7,00
3069;Sandwich Frankfurter;12,93
3084;Combo Hamburguesa +cafe 8onz;4,00
3079;Sandwich Panini Con Pollo;1,00
3062;Sandwich Poderoso;7,63
3063;Sandwich Proteico;1,00
3043;Triple Clasico;5,08
3047;Triple De Aceituna;1,00
3046;Triple De Jamon+ Huevo Y Pollo;1,00
3044;Triple Jamon, Queso Y Pollo;5,93
3045;Triple Vegetariano;1,50
3120;Combo Sandwich + Epic;5,00
3200;Croissant Huevo Tocino;3,00
3121;Combo 2: Canchita Popcorn + Refresco;1,00
3122;Combo 3: Snack + Gaseosa;1,00
3125;Triple Pollo, Jamon Y Durazno;2,80
3132;Sandwich Tres Jamones;1,50
3050-1;Croissant Mixto Completo;2,00
9058;Parfait Con Chia 12 Onz;3,20
2129;Gelatina 12 Onz;0,60
9059;Parfait Frutado 12 Onz;6,00
3090;Wrap Americano;1,00
3089;Wrap Clasico;5,85
3095;Desayuno Estudiantil;5,08
3093;Desayuno Americano;5,00
3094;Desayuno Ejecutivo;5,00
2230;Tostadas Con Mermelada Y Matequilla;1,50
2231;Tostadas Sn;9,24
